CITIES,Levy Code,Levy Rate,Rate
,1431,9.01246,4.89346
,1436,9.01246,4.89346
,1437,8.93949,4.89346
,1438,9.01246,4.89346
,1439,9.01246,4.89346
Kenmore,1441,8.6558,6.11499
,1442,9.92143,6.11499
Kent,1451,10.46674,6.06454
,1452,10.46674,6.06454
,1453,10.46674,6.06454
Newcastle (con't),1866,9.70136,6.10207
,1867,8.13342,6.10207
,1869,9.51343,5.63066
,1870,9.5864,5.63066
,1872,9.51343,5.63066
,1873,9.98484,6.10207
Normandy Park,1876,10.37119,6.34981
,1882,10.37119,6.34981
,1883,10.39325,6.34981
,1884,10.37119,6.34981
,1896,10.37119,6.34981
,1898,10.37119,6.34981
North Bend,1925,8.54389,5.98321
Pacific,1950,8.99828,5.98079
,1952,8.99828,5.98079
,1960,10.65519,5.98079
,1961,10.65519,5.98079
Redmond,2010,7.72731,5.50209
,2015,7.32997,5.25874
,2016,7.35203,5.25874
,2020,8.08278,5.50209
,2025,8.10484,5.50209
,2026,8.06291,5.50209
,2053,7.7075,5.25874
,2057,7.68544,5.25874
,2085,8.06291,5.50209
Renton,2100,9.95405,6.41094
,2104,9.97611,6.41094
,2105,10.01023,6.41094
,2107,10.23048,6.46919
,2124,9.95405,6.41094
,2126,10.23048,6.46919
,2128,10.23048,6.46919
,2130,9.97611,6.41094
,2132,9.95405,6.41094
,2142,10.01023,6.41094
,2145,9.95405,6.41094
,2146,9.97611,6.41094
,2147,9.97611,6.41094
,2151,9.95405,6.41094
,2152,9.97611,6.41094
,2153,10.01023,6.41094
,2154,10.01023,6.41094
,2155,9.97611,6.41094
,2156,10.23048,6.46919
,2158,10.01023,6.41094
,2159,9.8223,5.93953
,2162,10.29371,6.41094
,2163,9.78818,5.93953
,2164,9.78818,5.93953
,2165,9.8223,5.93953
Tukwila,2310,10.79751,6.77613
,2320,10.79751,6.77613
,2325,10.3261,6.30472
,2326,10.3261,6.30472
,2327,10.79751,6.77613
,2330,9.88195,6.30472
,2340,10.35336,6.77613
,2360,10.35336,6.77613
,2380,10.56499,6.30472
,2390,11.0364,6.77613
,2400,10.56499,6.30472
,2401,10.58705,6.30472
,2403,10.56499,6.30472
,2405,11.0364,6.77613
,2406,10.56499,6.30472
,2407,10.56499,6.30472
,2408,10.58705,6.30472
,2413,10.58705,6.30472
,2417,10.58705,6.30472
,2421,11.05846,6.77613
,2422,10.58705,6.30472
,2423,10.58705,6.30472
,2426,10.37542,6.77613
,2430,8.18086,6.30472
,2440,10.34816,6.30472
,2442,10.34816,6.30472
Woodinville,2500,8.52493,5.98412
,2505,9.79056,5.98412
,2510,9.79056,5.98412
Yarrow Point,2650,6.08754,4.11237
,2660,6.08754,4.11237
,2670,6.48488,4.35572
Seattle - 001,3006,7.39642,5.52028
,3010,7.39642,5.52028
,3015,8.92834,6.96941
,3018,8.92834,6.96941
,3030,8.92834,6.96941
Federal Way - 210,3266,11.84666,7.49169
,3268,11.37525,7.02028
,3269,11.84666,7.49169
,3272,11.84666,7.49169
,3305,11.37525,7.02028
,3326,0,0
,3415,11.37525,7.02028
,3416,11.84666,7.49169
,3425,11.37525,7.02028
,3490,11.37525,7.02028
Enumclaw - 216,3530,9.15318,5.52028
,3531,9.15318,5.52028
,3532,10.65318,7.02028
,3533,10.65318,7.02028
,3550,9.89642,6.26352
,3551,9.89642,6.26352
,3565,10.793,7.02028
,3571,10.793,7.02028
,3575,10.30494,6.52028
,3576,10.30494,6.52028
Highline - 401,3642,11.09564,6.96941
,3645,11.09564,6.96941
,3660,10.56372,6.52028
,3697,11.09564,6.96941
,3705,11.09564,6.96941
,3710,11.09564,6.96941
,3774,11.09564,6.96941
,3780,11.09564,6.96941
,3850,11.09564,6.96941
Vashon - 402,4045,8.51524,6.6805
,4050,8.51524,6.6805
,4055,8.51524,6.6805
,4060,8.51524,6.6805
Renton - 403,4125,11.21273,7.44518
,4126,11.21273,7.44518
,4155,10.89098,7.29169
,4170,10.75298,6.99169
,4205,11.21273,7.44518
,4215,11.21273,7.44518
,4216,11.21273,7.44518
,4250,10.75298,6.99169
,4275,11.21273,7.44518
,4300,10.59098,6.99169
,4342,10.89098,7.29169
Kent - 415 (cont.),5144,11.71994,7.49169
,5145,11.71994,7.49169
,5146,11.71994,7.49169
,5148,11.66722,7.25498
,5149,11.66722,7.25498
,5150,11.85976,7.49169
,5155,10.21994,5.99169
,5157,11.51994,7.29169
,5160,11.38194,6.99169
,5165,11.66722,7.25498
,5175,11.71994,7.49169
,5181,11.71994,7.49169
Fife - 888,5226,9.89919,7.02028
,5229,9.89919,7.02028
Skykomish - 404,6075,6.86373,5.52028
,6076,7.90102,6.55757
,6079,7.90102,6.55757
Bellevue - 405,6140,9.05163,7.02028
,6190,8.55163,6.52028
,6320,9.05163,7.02028
Riverview - 407,6370,8.50198,5.52028
,6371,8.89932,5.76363
,6373,8.88702,5.90532
,6385,10.06237,6.96719
,6386,10.20813,6.96719
,6390,10.18192,7.04623
,6395,9.78458,6.80288
,6405,9.89932,6.76363
,6407,9.88702,6.90532
,6415,9.68752,6.55183
,6420,10.39502,7.11363
,6428,9.68752,6.55183
,6430,8.89932,5.76363
,6431,8.88702,5.90532
,6435,9.89932,6.76363
,6436,9.88702,6.90532
,6440,10.39502,7.11363
,6443,10.39502,7.11363
,6445,10.18192,7.04623
,6450,9.78458,6.80288
Tahoma - 409,6510,10.33862,6.52028
SEE STARTING,6514,10.33862,6.52028
CODE 4845 FOR,6530,11.11003,7.29169
MORE SCHOOL 409,6535,10.7859,6.78357
,6540,11.25731,7.25498
,6545,10.94239,6.90532
Snoqualmie - 410,6590,8.466,5.90532
,6591,8.90584,6.34516
,6594,8.466,5.90532
,6595,8.466,5.90532
,6620,9.466,6.90532
Issaquah - 411 (cont.),6987,10.00682,5.90532
,6990,11.18217,6.96719
,6991,10.9233,6.78357
,6993,10.47602,6.52028
,6996,10.47602,6.52028
,6997,10.47602,6.52028
,6998,9.47602,5.52028
,6999,11.00682,6.90532
Shoreline - 412,7041,11.87414,7.02028
Lk Washington - 414,7245,9.30444,6.76363
,7260,9.58704,7.04623
,7261,9.58704,7.04623
,7265,9.58704,7.04623
,7278,9.58704,7.04623
,7290,9.09264,6.55183
,7337,9.25629,6.71548
,7338,9.20724,6.66643
,7340,8.30444,5.76363
,7356,9.58704,7.04623
,7360,9.20724,6.66643
,7365,9.20724,6.66643
,7370,9.30444,6.76363
,7380,9.58704,7.04623
,7415,9.58704,7.04623
,7418,8.30444,5.76363
,7420,9.09264,6.55183
,7430,9.09264,6.55183
,7440,9.20724,6.66643
Northshore - 417,7490,9.57007,5.76363
,7505,10.85267,7.04623
,7510,10.35827,6.55183
,7518,11.0524,7.11363
,7525,10.31055,6.50411
,7529,10.31055,6.50411
,7532,10.47287,6.66643
,7545,10.35827,6.55183
,7550,10.31055,6.50411
,7560,9.57007,5.76363
,7562,10.85267,7.04623
,7570,10.35827,6.55183
,7575,10.35827,6.55183
Bellevue  (cont.),0816,8.93902,5.33973
Bothell,0850,7.9882,5.35711
,0851,9.25383,5.35711
,0859,9.25383,5.35711
,0860,9.25383,5.35711
,0870,9.25383,5.35711
Black Diamond,0880,9.27054,5.4522
,0881,9.27054,5.4522
,0882,9.27054,5.4522
,0883,9.27054,5.4522
,0890,9.68045,5.4522
,0891,10.15186,5.92361
,0905,9.0851,5.4522
,0906,9.0851,5.4522
,0910,9.06304,5.4522
,0915,9.06304,5.4522
,0920,9.98802,5.4522
Burien,0927,10.67542,6.63198
,0930,10.67542,6.63198
,0932,10.67542,6.63198
,0933,10.67542,6.63198
,0935,10.67542,6.63198
,0937,10.67542,6.63198
,0940,10.67542,6.63198
,0941,10.67542,6.63198
,0942,10.67542,6.63198
,0955,10.67542,6.63198
,0957,10.67542,6.63198
Carnation,0970,9.31844,6.3588
,0971,9.3405,6.3588
,0972,8.31844,5.3588
Mercer Island,1031,6.88612,4.93555
Clyde Hill,1050,6.45073,4.44144
,1052,6.84807,4.68479
,1053,6.47279,4.44144
Covington,1056,10.23086,6.41252
,1059,11.11218,6.88393
,1060,11.11218,6.88393
,1061,11.11218,6.88393
,1062,11.11218,6.88393
,1063,11.11218,6.88393
,1064,11.11218,6.88393
,1065,11.11218,6.88393
,1066,11.11218,6.88393
,1067,11.11218,6.88393
,1068,11.11218,6.88393
Des Moines,1072,11.34697,6.85303
,1074,11.34697,6.85303
,1076,11.34697,6.85303
Kent (con't),1457,10.44468,6.06454
,1458,10.44468,6.06454
,1461,10.44468,6.06454
,1463,10.44468,6.06454
,1464,10.44468,6.06454
,1467,10.13315,6.06454
,1468,10.13315,6.06454
,1470,10.13315,6.06454
,1511,9.90805,6.06454
,1512,9.90805,6.06454
,1514,10.16041,6.53595
,1516,10.81143,6.53595
,1518,10.78937,6.53595
,1519,10.81143,6.53595
,1520,10.78937,6.53595
,1522,10.78937,6.53595
,1524,10.81143,6.53595
,1525,10.78937,6.53595
,1551,10.78937,6.53595
,1560,10.78937,6.53595
,1562,10.81143,6.53595
,1564,10.81143,6.53595
,1565,10.81143,6.53595
,1570,10.62553,6.06454
Kirkland,1700,7.8307,5.20031
,1701,7.85276,5.20031
,1727,7.8307,5.20031
,1728,7.90181,5.24936
,1743,7.8307,5.20031
,1746,7.8307,5.20031
,1755,7.47523,5.20031
,1760,7.47523,5.20031
,1765,7.43336,4.95696
,1806,7.85276,5.20031
Maple Valley,1810,10.27281,6.27048
,1811,10.27281,6.27048
,1812,10.27281,6.27048
,1813,10.27281,6.27048
,1814,10.74422,6.74189
,1817,10.27281,6.27048
,1818,10.27281,6.27048
,1821,10.27281,6.27048
,1826,11.15413,6.74189
,1827,11.15413,6.74189
Medina,1836,6.6905,4.68121
Milton,1848,10.00943,5.71064
,1850,10.03149,5.71064
,1855,8.55543,5.71064
,1860,8.53337,5.71064
Newcastle,1864,9.22995,5.63066
,1865,9.70136,6.10207
Renton (con't),2166,9.78818,5.93953
,2167,10.63919,6.41094
,2168,10.58301,6.41094
,2169,10.58301,6.41094
,2170,10.63919,6.41094
,2172,10.85944,6.46919
,2173,10.63919,6.41094
Sammamish,2175,9.84998,5.96721
,2176,9.84998,5.96721
,2177,9.84998,5.96721
,2182,8.75137,6.21056
,2183,8.75137,6.21056
,2184,8.75137,6.21056
,2186,8.75137,6.21056
,2187,8.75137,6.21056
,2189,8.75137,6.21056
,2192,8.75137,6.21056
SEA-TAC,2201,10.31423,6.27079
,2205,10.31423,6.27079
,2206,10.31423,6.27079
,2207,10.31423,6.27079
,2210,10.31423,6.27079
,2212,10.31423,6.27079
,2218,10.31423,6.27079
,2219,10.31423,6.27079
,2222,10.31423,6.27079
,2225,10.78564,6.7422
,2226,10.31423,6.27079
,2228,10.31423,6.27079
,2230,10.78564,6.7422
,2231,10.31423,6.27079
,2232,10.78564,6.7422
,2240,10.34149,6.7422
,2243,11.02453,6.7422
,2245,10.55312,6.27079
,2246,11.02453,6.7422
,2251,10.97045,6.7422
,2252,10.97045,6.7422
Shoreline,2258,11.44946,6.37851
,2259,11.44946,6.37851
,2260,11.44946,6.37851
,2261,11.44946,6.37851
,2262,11.44946,6.37851
,2263,11.44946,6.37851
,2265,11.44946,6.37851
,2266,11.44946,6.37851
Skykomish,2270,6.87871,5.55732
Snoqualmie,2275,9.0925,6.42125
,2277,9.11456,6.42125
,2278,9.22804,6.42125
,2279,9.11456,6.42125
,2282,9.5544,6.86109
Renton - 403,4350,10.89098,7.29169
(cont.),4355,10.41957,6.82028
,4370,10.89098,7.29169
,4398,10.75298,6.99169
,4399,10.89098,7.29169
Tukwila - 406,4545,11.33453,6.96941
Auburn - 408,4730,11.5561,7.02028
,4731,10.0561,5.52028
,4735,11.55606,7.02024
,4745,11.5561,7.02028
,4750,11.69592,7.02028
,4795,11.69592,7.02028
,4797,11.5561,7.02028
Tahoma - 409,4845,9.33862,5.52028
,4846,9.86942,5.90532
,4847,9.33862,5.52028
,4848,9.33862,5.52028
,4850,10.83862,7.02028
,4851,10.83862,7.02028
,4852,11.11003,7.29169
,4855,10.83862,7.02028
,4860,10.7859,6.78357
,4862,10.83862,7.02028
,4863,10.7859,6.78357
,4864,10.7859,6.78357
,4865,11.25731,7.25498
,4867,10.83862,7.02028
,4868,11.31003,7.49169
,4870,10.49038,6.52028
SEE STARTING CODE,4878,11.11003,7.29169
6510 FOR MORE,4880,10.7859,6.78357
SCHOOL 409,4881,10.7859,6.78357
,4890,9.41159,5.52028
,4891,10.85887,6.78357
Kent - 415,5010,10.21994,5.99169
,5025,11.21994,6.99169
,5030,11.71994,7.49169
,5040,11.71994,7.49169
,5041,11.71994,7.49169
,5055,11.38194,6.99169
,5060,11.66722,7.25498
,5062,11.66722,7.25498
,5065,11.85976,7.49169
,5090,11.71994,7.49169
,5100,11.38194,6.99169
,5115,11.21994,6.99169
,5135,11.71994,7.49169
,5142,10.21994,5.99169
,5143,11.71994,7.49169
Snoqualmie - 410,6625,9.33254,6.76363
(CONT.),6630,9.64135,6.96719
,6631,9.64135,6.96719
,6634,9.64135,6.96719
,6636,9.50789,6.8255
,6639,9.11055,6.58215
,6640,9.2178,6.80288
,6641,9.61514,7.04623
,6645,9.61514,7.04623
,6647,9.7486,7.18792
,6665,9.32024,6.90532
,6674,9.39267,6.83199
,6675,9.83251,7.27183
,6677,8.466,5.90532
,6678,8.90584,6.34516
,6682,9.28732,6.72664
,6683,9.28732,6.72664
,6686,8.466,5.90532
,6688,8.466,5.90532
,6690,8.53897,5.90532
,6691,9.53897,6.90532
,6693,9.71432,6.96719
,6694,9.71432,6.96719
,6697,8.53897,5.90532
Issaquah - 411,6745,9.40305,5.52028
,6757,9.47602,5.52028
,6760,10.40305,6.52028
,6761,10.93385,6.90532
,6808,11.17446,7.29169
,6825,10.40305,6.52028
,6845,9.87446,5.99169
,6847,9.40305,5.52028
,6850,10.40305,6.52028
,6855,10.40305,6.52028
,6861,10.70305,6.82028
,6865,11.17446,7.29169
,6867,10.70305,6.82028
,6870,11.17446,7.29169
,6878,10.85033,6.78357
,6880,11.32174,7.25498
,6943,0,0
,6946,10.40305,6.52028
,6966,10.5784,6.58215
,6977,10.93385,6.90532
,6980,9.47602,5.52028
,6981,10.47602,6.52028
,6982,11.00682,6.90532
,6986,10.47602,6.52028
